Field Name,Short Name,grib paramID,Unit,Level,Minimum value,Maximum value,Existing L1 error,Distribution,Absolute L1 error,Absolute L2 error,Absolute Linfty error,Relative L1 error,Relative L2 error,Relative Linfty error,decimal error,Important for budget,Additional Requirements,Comments
Low vegetation cover,cvl,27,dimensionless,Single/Surface,0,1,"0,00000005960464478",Other,"0,00001",,,"0,01",,,,Energy,,
High vegetation cover,cvh,28,dimensionless,Single/Surface,0,1,"0,00000005960464478",Other,"0,00001",,,"0,01",,,,Energy,,
Type of low vegetation,tvl,29,(Code table 4.234),Single/Surface,0,17,"0,0002593994141",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,The vegetation type values are integers - there shouldn't be an error associated with them.
Type of high vegetation,tvh,30,(Code table 4.234),Single/Surface,0,19,"0,0002899169922",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,The vegetation type values are integers - there shouldn't be an error associated with them.
Sea ice area fraction,ci,31,dimensionless,Single/Surface,0,1,"0,00001525878906",Other,"0,05",,,"0,01",,"0,05",,,,
Snow albedo,asn,32,dimensionless,Single/Surface,"0,5199999","0,8800079","0,000005493286153",Normal,"0,001",,,"0,001",,,,Energy,Both Energy and water budget,Ask Gabriele Arduini
Snow density,rsn,33,kg m**-3,Single/Surface,"99,999985",450,"0,005340576172",Normal,"0,1",,,"0,01",,,,,,
Sea surface temperature,sst,34,K,Single/Surface,"267,95508","311,38647","0,0006627105176",Normal,"0,01",,"0,01",,,,,,,Peter B. recommends 0.01K for T fields for long integrations to make budgets
Soil type,slt,43,(Code table 4.213),Single/Surface,0,7,"0,0000004172325134",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,The soil type values are integers - there shouldn't be an error associated with them.
Snow evaporation,es,44,m of water equivalent,Single/Surface,"-0,0006759828","0,00046391226","0,00000001739341826",Other,"0,00001",,,"0,01",,,,,,
Snowmelt,smlt,45,m of water equivalent,Single/Surface,0,"0,014152765","0,00000021595406",,"0,00001",,,"0,01",,,,,,
Maximum 10 metre wind gust since previous post-processing,10fg,49,m s**-1,Single/Surface,"0,41986078","54,995937","0,0008327648393",,"0,5",,"0,5",,,,,,,
Large-scale precipitation fraction,lspf,50,s,Single/Surface,0,10800,"0,1647949219",Normal,,,,,,"0,01",,Energy,,
Surface downward UV radiation,uvb,57,J m**-2,Single/Surface,0,1626784,"24,82275391",,3600,,, ,,,,,,"For all the accumulated radiative fluxes I am going for 1 W/m2 error in a 1-hr mean, implying a 3600 J/m2 error in the accumulation. Note that you can't easily convert this to a relative error, because accumulations can be a year long, and you might want the same error in hourly average or daily average flux for the final day as the beginning."
Convective available potential energy,cape,59,J kg**-1,Single/Surface,0,"12867,5","0,1963424683",,,,,"0,01",,,,,,
"Leaf area index, low vegetation",lai_lv,66,m**2 m**-2,Single/Surface,0,"4,6418457","0,00007082894444",,"0,0001",,,"0,01",,,,Energy,,
"Leaf area index, high vegetation",lai_hv,67,m**2 m**-2,Single/Surface,0,"6,9730225","0,0001063998789",,"0,0001",,,"0,01",,,,Energy,,
Standard deviation of filtered subgrid orography (climatological),sdfor,74,m,Single/Surface,0,"624,2425","0,00003720775203",,,,,"0,05",,"0,05",,,,
Total column cloud liquid water,tclw,78,kg m**-2,Single/Surface,0,"2,956787","0,0000451169908",,"0,01",,,,,,,,,
Total column cloud ice water,tciw,79,kg m**-2,Single/Surface,0,"1,9159546","0,00002923514694",,"0,01",,,,,,,,,
Geopotential,z,129,m**2 s**-2,Single/Surface,"-1641,3057","53883,785","0,003309553256",,,,10,,,,,,,
Surface pressure,sp,134,Pa,Single/Surface,"50471,63","105994,32","0,8472090364",,1,,1,"0,01",,,,,,
Total column water,tcw,136,kg m**-2,Single/Surface,"0,065148175","101,19361","0,001543097897",,"0,1",,,,,,,,,
Total column vertically-integrated water vapour,tcwv,137,kg m**-2,Single/Surface,"0,065148175","89,08228","0,001358293695",,"0,1",,,,,,,,,
Snow depth,sd,141,m of water equivalent,Single/Surface,0,10,"0,0000005960464478",,"0,00001",,,"0,01",,,,,,
Large-scale precipitation,lsp,142,m,Single/Surface,0,"0,050883293","0,000000776417437",,"0,00001",,,,,,,,,
Convective precipitation,cp,143,m,Single/Surface,0,"0,035523415","0,0000005420442903",,"0,00001",,,,,,,,,
Snowfall,sf,144,m of water equivalent,Single/Surface,0,"0,015250921","0,0000002327105904",,"0,00001",,,,,,,,,
Time-integrated boundary layer dissipation,bld,145,J m**-2,Single/Surface,"7,0979776",5843611,"89,1663208",,1000,,,,,,,,,
Time-integrated surface sensible heat net flux,sshf,146,J m**-2,Single/Surface,-9014216,4343472,"203,8221436",,1000,,,,,,,,,
Time-integrated surface latent heat net flux,slhf,147,J m**-2,Single/Surface,-12757454,2789919,"237,2340851",,1000,,,,,,,,,
Charnock,chnk,148,Numeric,Single/Surface,"0,0075299256","0,09239451","0,000001294930826",,,,,"0,01",,,,,,
Mean sea level pressure,msl,151,Pa,Single/Surface,"92725,56","106307,375","0,207242012",,1,,1,,,,,,,
Boundary layer height,blh,159,m,Single/Surface,"7,399293","6199,293","0,09448079765",,10,,10,,,,,,,
Standard deviation of sub-gridscale orography,sdor,160,m,Single/Surface,0,"1033,3016","0,00006158957694",,1,,,"0,01",,,,,,
Anisotropy of sub-gridscale orography,isor,161,Numeric,Single/Surface,0,"0,9807435","0,00000005845686957",,"0,05",,,"0,01",,,,,,
Angle of sub-gridscale orography,anor,162,radians,Single/Surface,"-1,5593841","1,5629416","0,0000001861051118",,"0,1",,,"0,01",,,,,,
Slope of sub-gridscale orography,slor,163,Numeric,Single/Surface,"0,000099999976","0,1350887","0,000000008045953237",,,,,"0,01",,,,,,
Total cloud cover,tcc,164,dimensionless,Single/Surface,0,1,"0,00001525878906",,"0,05",,,"0,01",,,,,,
10 metre U wind component,10u,165,m s**-1,Single/Surface,"-35,57274","29,245392","0,0009890461806",,"0,5",,,"0,5",,,,,,
10 metre V wind component,10v,166,m s**-1,Single/Surface,"-30,720917","33,44426","0,0009790828917",,"0,5",,,"0,5",,,,,,
2 metre temperature,2t,167,K,Single/Surface,"198,04323","324,60345","0,001931155799",,,,"0,05",,,,,,,
2 metre dewpoint temperature,2d,168,K,Single/Surface,"194,528","305,39026","0,001691623824",,,,"0,05",,,,,,,
Surface short-wave (solar) radiation downwards,ssrd,169,J m**-2,Single/Surface,0,13807872,"210,6914063",,3600,,,,,,,Energy,,The maximum/minimum values quoted for this and all the accumulated values are not likely to be representative as it depends on the accumulation time and I think a 1-day accumulation has been used.  In seasonal forecast and climate experiments we accumulate over 13 months so the magnitudes can be nearly 400 times more.
Land-sea mask,lsm,172,dimensionless,Single/Surface,0,1,"0,00000005960464478",Other,,,,,,,,,,It is important that treshold of 0.5 can still be used to decide whether land or ocean
Surface long-wave (thermal) radiation downwards,strd,175,J m**-2,Single/Surface,"529710,56","5709221,5","79,0330658",,3600,,,,,,,Energy,,
Surface net short-wave (solar) radiation,ssr,176,J m**-2,Single/Surface,0,11775744,"179,6835938",,3600,,,,,,,Energy,,
Surface net long-wave (thermal) radiation,str,177,J m**-2,Single/Surface,-4739560,739601,"83,60536194",,3600,,,,,,,Energy,,
Top net short-wave (solar) radiation,tsr,178,J m**-2,Single/Surface,0,14224384,"217,046875",,3600,,,,,,,Energy,,
Top net long-wave (thermal) radiation,ttr,179,J m**-2,Single/Surface,-4492495,-813580,"56,13578796",,3600,,,,,,,Energy,,
Time-integrated eastward turbulent surface stress,ewss,180,N m**-2 s,Single/Surface,"-145328,5","98530,336","3,720990658",,100,,,,,,,,,
Time-integrated northward turbulent surface stress,nsss,181,N m**-2 s,Single/Surface,"-98271,81","88200,69","2,845344543",,100,,,,,,,,,
Evaporation,e,182,m of water equivalent,Single/Surface,"-0,0051013567","0,0011155764","0,00000009486286956",,,,,"0,01",,,,,,
Low cloud cover,lcc,186,dimensionless,Single/Surface,0,1,"0,00001525878906",,,,,"0,01",,,,,,
Medium cloud cover,mcc,187,dimensionless,Single/Surface,0,1,"0,00001525878906",,,,,"0,01",,,,,,
High cloud cover,hcc,188,dimensionless,Single/Surface,0,1,"0,00001525878906",,,,,"0,01",,,,,,
Eastward gravity wave surface stress,lgws,195,N m**-2 s,Single/Surface,"-94455,5","128995,21","3,409587383",,100,,,,,,,,,
Northward gravity wave surface stress,mgws,196,N m**-2 s,Single/Surface,"-131455,62","135554,84","4,07425642",,100,,,,,,,,,
Gravity wave dissipation,gwd,197,J m**-2,Single/Surface,"-1996,469","2915707,8","44,5206337",,1000,,,,,,,,,
Skin reservoir content,src,198,m of water equivalent,Single/Surface,0,"0,0011899769","0,00000001815760697",,"0,00001",,,"0,01",,,,,,
Maximum temperature at 2 metres since previous post-processing,mx2t,201,K,Single/Surface,"199,34102","324,73157","0,001913307933",,,,"0,05",,,,,,,
Minimum temperature at 2 metres since previous post-processing,mn2t,202,K,Single/Surface,"199,18436","324,6175","0,001913957763",,,,"0,05",,,,,,,
Runoff,ro,205,m,Single/Surface,0,"0,053337097","0,0000008138595149",,"0,00001",,,"0,01",,,,,,"It could be considered to remove this value, as ro=sro+ssro"
Total column ozone,tco3,206,kg m**-2,Single/Surface,"0,0026929623","0,012685288","0,0000001524707898",,,,,"0,01",,,,Energy,,
"Top net short-wave (solar) radiation, clear sky",tsrc,208,J m**-2,Single/Surface,0,14047232,"214,34375",,3600,,,,,,,Energy,,
"Top net long-wave (thermal) radiation, clear sky",ttrc,209,J m**-2,Single/Surface,-4431609,-1013443,"52,15707397",,3600,,,,,,,Energy,,
"Surface net short-wave (solar) radiation, clear sky",ssrc,210,J m**-2,Single/Surface,0,11730432,"178,9921875",,3600,,,,,,,Energy,,
"Surface net long-wave (thermal) radiation, clear sky",strc,211,J m**-2,Single/Surface,-4597057,399221,"76,2371521",,3600,,,,,,,Energy,,
TOA incident short-wave (solar) radiation,tisr,212,J m**-2,Single/Surface,0,14874880,"226,9726563",,3600,,,,,,,Energy,,
Vertically integrated moisture divergence,vimd,213,kg m**-2,Single/Surface,"-89,64993","38,31877","0,001952647464",,,,,"0,01",,,,,,
Total precipitation,tp,228,m,Single/Surface,0,"0,058294296","0,0000008895003702",,"0,00001",,,,,,,,,
Instantaneous eastward turbulent surface stress,iews,229,N m**-2,Single/Surface,"-12,641745","9,264997","0,0003342703567",,,,,"0,01",,,,,,
Instantaneous northward turbulent surface stress,inss,230,N m**-2,Single/Surface,"-8,780683","9,028752","0,0002717504103",,,,,"0,01",,,,,,
Instantaneous surface sensible heat net flux,ishf,231,W m**-2,Single/Surface,"-755,95483","429,8999","0,01809470728",,"0,1",,,,,,,,,
Instantaneous moisture flux,ie,232,kg m**-2 s**-1,Single/Surface,"-0,00042742398","0,00016970992","0,000000009111539967",,,,,"0,01",,,,,,
Skin temperature,skt,235,K,Single/Surface,"195,50932","343,44434","0,002257309156",,,,"0,05",,,,,,,Peter B. recommends 0.01K for T fields for long integrations to make budgets
Temperature of snow layer,tsn,238,K,Single/Surface,"198,55476","308,8557","0,001683058916",,,,"0,05",,,,,,,
Convective snowfall,csf,239,m of water equivalent,Single/Surface,0,"0,009302139","0,0000001419393811",,"0,00001",,,,,,,,,
Large-scale snowfall,lsf,240,m of water equivalent,Single/Surface,0,"0,015250921","0,0000002327105904",,"0,00001",,,,,,,,,
Forecast albedo,fal,243,dimensionless,Single/Surface,"0,049640384","0,8779686","0,00001263928607",,"0,01",,,,,,,,,
Forecast surface roughness,fsr,244,m,Single/Surface,"0,000024328765","1,9848","0,0000001183018483",,,,,"0,01",,,,,,
Forecast logarithm of surface roughness for heat,flsr,245,Numeric,Single/Surface,"-12,180499","0,6854992","0,0001963195537",,,,,"0,01",,,,,,
Convective inhibition,cin,228001,J kg**-1,Single/Surface,"0,000000014166922","1000,0008","0,01525880117",,1,,,,,,,,,
Friction velocity,zust,228003,m s**-1,Single/Surface,"0,0032943622","2,359058","0,00003594609734",,,,,"0,01",,,,,,
Lake total depth,dl,228007,m,Single/Surface,"0,49999994","8032,337","0,0004787347862",,"0,1",,,,,,,,,
Lake mix-layer temperature,lmlt,228008,K,Single/Surface,"273,14966","312,5061","0,0006005316973",,"0,0001",,,"0,01",,,,,,
Lake mix-layer depth,lmld,228009,m,Single/Surface,0,50,"0,0007629394531",,"0,1",,,"0,01",,,,,,
Lake bottom temperature,lblt,228010,K,Single/Surface,"273,15967","308,8501","0,0005445927382",,"0,0001",,,"0,01",,,,,,
Lake total layer temperature,ltlt,228011,K,Single/Surface,"273,15967","308,8501","0,0005445927382",,"0,0001",,,"0,01",,,,,,
Lake shape factor,lshf,228012,dimensionless,Single/Surface,"0,5656386","0,80000216","0,000003576104064",,"0,00001",,,"0,01",,,,,,
Lake ice surface temperature,lict,228013,K,Single/Surface,"197,45952","273,16208","0,001155129401",,"0,0001",,,"0,01",,,,,,
Lake ice total depth,licd,228014,m,Single/Surface,0,"2,9902344","0,00004562735558",,"0,001",,,"0,01",,,,,,
Minimum vertical gradient of refractivity inside trapping layer,dndzn,228015,m**-1,Single/Surface,"-1,000001","5,016967","0,00009181164205",,,,,"0,01",,,,,,
Mean vertical gradient of refractivity inside trapping layer,dndza,228016,m**-1,Single/Surface,"-1,000001","2,4447622","0,00005256291479",,,,,"0,01",,,,,,
Duct base height,dctb,228017,m,Single/Surface,"-1,000001","2203,1875","0,03363323212",,,,,"0,01",,,,,,
Trapping layer base height,tplb,228018,m,Single/Surface,"-1,000001","2289,6875","0,03495311737",,,,,"0,01",,,,,,
Trapping layer top height,tplt,228019,m,Single/Surface,"-1,000001","2487,1875","0,03796672821",,,,,"0,01",,,,,,
Surface direct short-wave (solar) radiation,fdir,228021,J m**-2,Single/Surface,0,13122560,"200,234375",,3600,,,,,,,Energy,,
"Surface direct short-wave radiation, clear sky",cdir,228022,J m**-2,Single/Surface,0,12769280,"194,84375",,3600,,,,,,,Energy,,
Cloud base height,cbh,228023,m,Single/Surface,"21,805069","17760,72","0,2706743777",,1,,,,,,,,,
0 degrees C isothermal level (atm),deg0l,228024,m,Single/Surface,0,"6815,875","0,1040019989",,1,,,,,,,,,
Instantaneous 10 metre wind gust,i10fg,228029,m s**-1,Single/Surface,"0,30877757","52,88197","0,0008022032562",,"0,01",,,,,,,,,
Total column supercooled liquid water,tcslw,228088,kg m**-2,Single/Surface,0,"1,4591064","0,00002226419747",,"0,01",,,,,,,,,
Total column rain water,tcrw,228089,kg m**-2,Single/Surface,0,"6,3325195","0,00009662657976",,"0,01",,,,,,,,,
Total column snow water,tcsw,228090,kg m**-2,Single/Surface,0,"15,666992","0,000239059329",,"0,01",,,,,,,,,
Surface short-wave (solar) radiation downward clear-sky,ssrdc,228129,J m**-2,Single/Surface,0,13626112,"207,9179688",,3600,,,,,,,Energy,,
Surface long-wave (thermal) radiation downward clear-sky,strdc,228130,J m**-2,Single/Surface,"519817,06",5706949,"79,14935303",,3600,,,,,,,Energy,,
10 metre u-component of neutral wind,u10n,228131,m s**-1,Single/Surface,"-35,526276","29,296982","0,0009891244117",,"0,01",,,,,,,,,
10 metre v-component of neutral wind,v10n,228132,m s**-1,Single/Surface,"-30,75679","33,482727","0,0009802172426",,"0,01",,,,,,,,,
Instantaneous large-scale precipitation fraction,ilspf,228217,Proportion,Single/Surface,0,1,"0,00001525878906",,,,,"0,01",,,,,,
Convective rain rate,crr,228218,kg m**-2 s**-1,Single/Surface,0,"0,004797101","0,00000007319795259",,,,,"0,01",,,,,,
Large scale rain rate,lsrr,228219,kg m**-2 s**-1,Single/Surface,0,"0,0059996843","0,00000009154791769",,,,,"0,01",,,,,,
Convective snowfall rate water equivalent,csfr,228220,kg m**-2 s**-1,Single/Surface,0,"0,0009200573","0,00000001403896022",,,,,"0,01",,,,,,
Large scale snowfall rate water equivalent,lssfr,228221,kg m**-2 s**-1,Single/Surface,0,"0,0015558004","0,00000002373963071",,,,,"0,01",,,,,,
Maximum total precipitation rate since previous post-processing,mxtpr,228226,kg m**-2 s**-1,Single/Surface,0,"0,0070943832","0,0000001082516974",,,,,"0,01",,,,,,
Minimum total precipitation rate since previous post-processing,mntpr,228227,kg m**-2 s**-1,Single/Surface,0,"0,0060921907","0,00000009295945347",,,,,"0,01",,,,,,
100 metre U wind component,100u,228246,m s**-1,Single/Surface,"-45,964752","39,560516","0,001305012032",,"0,01",,,,,,,,,
100 metre V wind component,100v,228247,m s**-1,Single/Surface,"-41,978714","45,65535","0,001337189693",,"0,01",,,,,,,,,
Potential evaporation,pev,228251,m,Single/Surface,"-0,005537186","0,0004110483","0,00000009076285323",,,,,"0,01",,,,,,
Time-mean surface runoff rate,avg_surfror,235020,kg m**-2 s**-1,Single/Surface,0,"0,0037660003","0,00000005746460374",,"0,000001",,,"0,01",,,,,,
Time-mean sub-surface runoff rate,avg_ssurfror,235021,kg m**-2 s**-1,Single/Surface,0,"0,0024867654","0,00000003794502845",,"0,000001",,,"0,01",,,,,,
Time-mean snow evaporation rate water equivalent,avg_esrwe,235023,kg m**-2 s**-1,Single/Surface,"-0,000062590785","0,000042954052","0,000000001610486411",,"0,0000001",,,"0,01",,,,,,
Time-mean snow melt rate,avg_smr,235024,kg m**-2 s**-1,Single/Surface,0,"0,0013104677","2,00E-08",,"0,000001",,,"0,01",,,,,,
Time-mean large-scale precipitation fraction,avg_ilspf,235026,Proportion,Single/Surface,0,1,"1,53E-05",,,,,"0,01",,,,,,
Time-mean surface downward UV radiation flux,avg_sduvrf,235027,W m**-2,Single/Surface,0,"150,6289","0,002298414707",,0.1,,,"0,01",,,,Energy,,
Time-mean large-scale precipitation rate,avg_lsprate,235029,kg m**-2 s**-1,Single/Surface,0,"0,0047112703","7,19E-08",,,,,"0,01",,,,,,
Time-mean convective precipitation rate,avg_cpr,235030,kg m**-2 s**-1,Single/Surface,0,"0,0032892227","5,02E-08",,,,,"0,01",,,,,,
Time-mean total snowfall rate water equivalent,avg_tsrwe,235031,kg m**-2 s**-1,Single/Surface,0,"0,0014121234","2,15E-08",,,,,"0,01",,,,,,
Time-mean boundary layer dissipation,avg_ibld,235032,W m**-2,Single/Surface,"0,00068298145","541,065","0,008255986497",,"0,1",,,,,,,,,
Time-mean surface sensible heat flux,avg_ishf,235033,W m**-2,Single/Surface,"-834,6482","402,1775","0,01887246221",,"0,1",,,,,,,,,
Time-mean surface latent heat flux,avg_slhtf,235034,W m**-2,Single/Surface,"-1181,2463","258,31226","0,02196592093",,"0,1",,,,,,,,,
Time-mean surface downward short-wave radiation flux,avg_sdswrf,235035,W m**-2,Single/Surface,0,"1278,5","0,01950836182",,"0,1",,,,,,,Energy,,
Time-mean surface downward long-wave radiation flux,avg_sdlwrf,235036,W m**-2,Single/Surface,"49,048218","528,6343","0,00731790252",,"0,1",,,,,,,Energy,,
Time-mean surface net short-wave radiation flux,avg_snswrf,235037,W m**-2,Single/Surface,"1,00E-15","1090,3438","0,01663732529",,"0,1",,,,,,,Energy,,
Time-mean surface net long-wave radiation flux,avg_snlwrf,235038,W m**-2,Single/Surface,"-438,84912","68,48364","0,007741283625",,"0,1",,,,,,,Energy,,
Time-mean top net short-wave radiation flux,avg_tnswrf,235039,W m**-2,Single/Surface,0,"1317,0938","0,02009725571",,"0,1",,,,,,,Energy,,
Time-mean top net long-wave radiation flux,avg_tnlwrf,235040,W m**-2,Single/Surface,"-415,9712","-75,33008","0,005197770894",,"0,1",,,,,,,Energy,,
Time-mean eastward turbulent surface stress,avg_iews,235041,N m**-2,Single/Surface,"-13,456354","9,1230955","0,0003445350449",,,,,"0,01",,,,,,
Time-mean northward turbulent surface stress,avg_inss,235042,N m**-2,Single/Surface,"-9,099227","8,166232","0,0002634499979",,,,,"0,01",,,,,,
Time-mean moisture flux,avg_ie,235043,kg m**-2 s**-1,Single/Surface,"-0,00047234795","0,00010329019","8,78E-09",,,,,"0,01",,,,,,
Time-mean eastward gravity wave surface stress,avg_iegwss,235045,N m**-2,Single/Surface,"-8,745907","11,944297","0,000315707468",,,,,"0,01",,,,,,
Time-mean northward gravity wave surface stress,avg_ingwss,235046,N m**-2,Single/Surface,"-12,171822","12,55106","0,000377241231",,,,,"0,01",,,,,,
Time-mean gravity wave dissipation,avg_igwd,235047,W m**-2,Single/Surface,"-0,1849078","269,9758","0,004122325219",,,,,"0,01",,,,,,
Time-mean runoff rate water equivalent (surface plus subsurface),avg_rorwe,235048,kg m**-2 s**-1,Single/Surface,0,"0,0049386024","7,54E-08",,,,,"0,01",,,,,,
"Time-mean top net short-wave radiation flux, clear sky",avg_tnswrfcs,235049,W m**-2,Single/Surface,0,"1300,6875","0,0198469162",,"0,1",,,,,,,Energy,,
"Time-mean top net long-wave radiation flux, clear sky",avg_tnlwrfcs,235050,W m**-2,Single/Surface,"-410,3352","-93,833984","0,004829425365",,"0,1",,,,,,,Energy,,
"Time-mean surface net short-wave radiation flux, clear sky",avg_snswrfcs,235051,W m**-2,Single/Surface,0,"1086,1562","0,01657342911",,"0,1",,,,,,,Energy,,
"Time-mean surface net long-wave radiation flux, clear sky",avg_snlwrfcs,235052,W m**-2,Single/Surface,"-425,64917","36,967926","0,007058976684",,"0,1",,,,,,,Energy,,
Time mean top downward short-wave radiation flux,avg_tdswrf,235053,W m**-2,Single/Surface,0,"1377,3125","0,02101612091",,"0,1",,,,,,,Energy,,
Time-mean total column vertically-integrated moisture divergence flux,avg_vimdf,235054,kg m**-2 s**-1,Single/Surface,"-0,008300897","0,0035479628","1,81E-07",,,,,"0,01",,,,,,
Time-mean total precipitation rate,avg_tprate,235055,kg m**-2 s**-1,Single/Surface,0,"0,0053976774","8,24E-08",,,,,"0,01",,,,,,
Time-mean convective snowfall rate water equivalent,avg_csfr,235056,kg m**-2 s**-1,Single/Surface,0,"0,0008613169","1,31E-08",,,,,"0,01",,,,,,
Time-mean large scale snowfall rate water equivalent,avg_lssfr,235057,kg m**-2 s**-1,Single/Surface,0,"0,0014121234","2,15E-08",,,,,"0,01",,,,,,
Time-mean surface direct short-wave radiation flux,avg_sdirswrf,235058,W m**-2,Single/Surface,0,"1215,0312","0,01853990555",,"0,1",,,,,,,Energy,,
"Time-mean surface direct short-wave radiation flux, clear sky",avg_sdirswrfcs,235059,W m**-2,Single/Surface,0,"1182,3438","0,01804113388",,"0,1",,,,,,,Energy,,
"Time-mean surface downward short-wave radiation flux, clear sky",avg_sdswrfcs,235068,W m**-2,Single/Surface,0,"1261,6875","0,01925182343",,"0,1",,,,,,,Energy,,
"Time-mean surface downward long-wave radiation flux, clear sky",avg_sdlwrfcs,235069,W m**-2,Single/Surface,"48,131348","528,412","0,007328500971",,"0,1",,,,,,,Energy,,
Time-mean potential evaporation rate,avg_pevr,235070,kg m**-2 s**-1,Single/Surface,"-0,0005127026","3,81E-05","8,40E-09",,,,,"0,01",,,,,,
Precipitation type,ptype,260015,(Code table 4.201),Single/Surface,0,8,"0,0001220703125",Other,,,,,,,,,,
K index,kx,260121,K,Single/Surface,"-147,42314","45,75621","0,00294768298",,"0,1",,,,,,,,,
Total totals index,totalx,260123,K,Single/Surface,"-58,761272","63,22233","0,001861321973",,"0,1",,,,,,,,,
Significant wave height of first swell partition,swh1,140121,m,Single/Surface,0,"9,668502","0,0001475296303",,0.01,,,,,,,,,
Mean wave direction of first swell partition,mwd1,140122,degrees,Single/Surface,"1,08E-05","359,99997","0,005493163597",,0.1,,,"0,01",,,,,,
Mean wave period of first swell partition,mwp1,140123,s,Single/Surface,0,"28,96636","0,0004419915786",,0.01,,,"0,01",,,,,,
Significant wave height of second swell partition,swh2,140124,m,Single/Surface,0,"6,2371826","9,52E-05",,0.01,,,"0,01",,,,,,
Mean wave direction of second swell partition,mwd2,140125,degrees,Single/Surface,"5,69E-06",360,"0,005493164063",,0.1,,,"0,01",,,,,,
Mean wave period of second swell partition,mwp2,140126,s,Single/Surface,0,"28,96669","0,0004419966135",,0.01,,,"0,01",,,,,,
